Rendering took 37.912845611572266 milliseconds
Player position: [6.591963555234396, 7.029023822926287] 8.899999999999984
(3.4799999999999898, (0.0030280230735222347, 0.21516096109161698))
(3.4799999999999898, (0.00020076179021977225, 0.2198056348014319))
(3.4899999999999896, (0.005895966266869834, 0.22966545260522864))
(3.4899999999999896, (0.003046038223892822, 0.23431458976878083))
(3.4899999999999896, (0.00018884938596741563, 0.23895926824636682))
(3.4999999999999893, (0.005829565994563524, 0.24885896962661214))
(3.4999999999999893, (0.0029496481744963887, 0.25350797961020355))
(3.4999999999999893, (6.246979480906134e-05, 0.2581524840489724))
(3.509999999999989, (0.0056484499470759175, 0.26809177453761723))
(3.509999999999989, (0.0027384811026518463, 0.2727404780499594))
(3.519999999999989, (0.008285062554005407, 0.2827104073659896))
(3.519999999999989, (0.005352248886561384, 0.287363212738847))
(3.519999999999989, (0.002412168793775038, 0.29201142991252027))
(3.5299999999999887, (0.007903582313030455, 0.30202044129669936))
(3.5299999999999887, (0.004940597195520979, 0.306672627035109))
(3.5299999999999887, (0.0019703466576768136, 0.3113201774322203))
(3.5399999999999885, (0.0074063479086632356, 0.32136797246265303))
(3.5399999999999885, (0.004413132892983285, 0.326019357655035))
(3.5399999999999885, (0.0014126537447261, 0.33066606027289325))
(3.5499999999999883, (0.006792999978152636, 0.3407523390966283))
(3.5499999999999883, (0.0037694976506461586, 0.3454027422707062))
(3.5499999999999883, (0.0007387327619365891, 0.35004841554756005))
(3.559999999999988, (0.00606318282341789, 0.3601728768889316))
(3.559999999999988, (0.003009336808851515, 0.3648221160174572))
(3.569999999999988, (0.008293523367486344, 0.3749762130434533))
(3.569999999999988, (0.005216544427003811, 0.3796289190071924))
(3.569999999999988, (0.0021322993924890454, 0.38427681151372095))
(3.5799999999999876, (0.0073601710679724874, 0.3944685723093464))
(3.5799999999999876, (0.004252736467879714, 0.39911979611632553))
(3.5799999999999876, (0.0011380381267969142, 0.4037661588809618))
(3.5899999999999874, (0.006309358120262232, 0.41399527832242367))
(3.5899999999999874, (0.003171414337163725, 0.4186448363985402))
(3.5899999999999874, (2.620945302744815e-05, 0.42328948576376124))
(3.599999999999987, (0.005140742590084457, 0.43355565733574775))
(3.599999999999987, (0.0019722371537476135, 0.43820336557342987))
(3.609999999999987, (0.007045842017987525, 0.4484983664404236))
(3.609999999999987, (0.0038539862826141302, 0.45314903315414234))
(3.609999999999987, (0.0006548677797653113, 0.45779470691822244))
(3.619999999999987, (0.005671277343042291, 0.4681262321569575))
(3.619999999999987, (0.002448754757901739, 0.47277472715445334))
(3.6299999999999866, (0.007423931813677953, 0.48313470542206716))
(3.6299999999999866, (0.004177956359132651, 0.48778592062017445))
(3.6299999999999866, (0.0009247173461677249, 0.49243205830594405))
(3.6399999999999864, (0.005842295443962087, 0.5028280290711713))
(3.6399999999999864, (0.0025655511144453413, 0.5074767489237582))
(3.649999999999986, (0.007441595856001015, 0.5179007934611066))
(3.649999999999986, (0.004141298389436443, 0.5225519938202039))
(3.649999999999986, (0.0008337374539486575, 0.527198031788874))
(3.659999999999986, (0.005651784407378457, 0.5376575328770112))
(3.659999999999986, (0.0023206192328650843, 0.5423059125397494))
(3.6699999999999857, (0.00709683539539796, 0.5527931051825963))
(3.6699999999999857, (0.003742019134801211, 0.5574437242605477))
(3.6699999999999857, (0.0003799403800872625, 0.5620890957632003))
(3.6799999999999855, (0.005097764790171766, 0.5726112049803316))
(3.6799999999999855, (0.0017119852015134995, 0.5772586763197216))
(3.6899999999999853, (0.006387684827993567, 0.5878080919437307))
(3.6899999999999853, (0.0029781585385073583, 0.5924575602314759))
(3.699999999999985, (0.007611608879127374, 0.6030341216145887))
(3.699999999999985, (0.004178290433918264, 0.6076854836964225))
(3.699999999999985, (0.000737708429468853, 0.6123314755424429))
(3.709999999999985, (0.005312211936832512, 0.6229421821370398))
(3.709999999999985, (0.0018477899665896302, 0.6275899271107921))
(3.7199999999999847, (0.0063797551057867, 0.6382273902040048))
(3.7199999999999847, (0.0028914487045081927, 0.6428767845545771))
(3.7299999999999844, (0.007380753011929642, 0.6535408417799395))
(3.7299999999999844, (0.0038685181303748095, 0.6581917814959333))
(3.7299999999999844, (0.00034902044586537784, 0.6628372276697441))
(3.7399999999999842, (0.0047788327483093695, 0.6735346507942506))
(3.7399999999999842, (0.0012353607290567226, 0.6781815006049818))
(3.749999999999984, (0.005622228082534875, 0.6889051245499438))
(3.749999999999984, (0.0020547386782716615, 0.6935532734025731))
(3.759999999999984, (0.006398540680489617, 0.7043029341082416))
